"","Month","Particelle.sospese.PM2.5...µg.m.","COMUNE","Year"
"107","ottobre",21,"Bagnolo Mella","2020"
"108","settembre",15.2333333333333,"Bagnolo Mella","2020"
"109","agosto",4.74193548387097,"Bagolino","2020"
"110","aprile",9.36666666666667,"Bagolino","2020"
"111","dicembre",3.38709677419355,"Bagolino","2020"
"112","febbraio",6.82758620689655,"Bagolino","2020"
"113","gennaio",9.87096774193548,"Bagolino","2020"
"114","giugno",5.23333333333333,"Bagolino","2020"
"115","luglio",5.53333333333333,"Bagolino","2020"
"116","maggio",5.93548387096774,"Bagolino","2020"
"117","marzo",8.35483870967742,"Bagolino","2020"
"118","novembre",8.8,"Bagolino","2020"
"119","ottobre",4.2258064516129,"Bagolino","2020"
"120","settembre",5.53333333333333,"Bagolino","2020"
"121","agosto",12.7741935483871,"Barbariga","2020"
"122","aprile",18.6333333333333,"Barbariga","2020"
"123","dicembre",30.3225806451613,"Barbariga","2020"
"124","febbraio",26.1724137931034,"Barbariga","2020"
"125","gennaio",35.8387096774194,"Barbariga","2020"
"126","giugno",10.1333333333333,"Barbariga","2020"
"127","luglio",12.2666666666667,"Barbariga","2020"
"128","maggio",10.8064516129032,"Barbariga","2020"
"129","marzo",24.1290322580645,"Barbariga","2020"
"130","novembre",40.3666666666667,"Barbariga","2020"
"131","ottobre",22.0967741935484,"Barbariga","2020"
"132","settembre",17.3,"Barbariga","2020"
"133","agosto",7.48387096774194,"Barghe","2020"
"134","aprile",13.9333333333333,"Barghe","2020"
"135","dicembre",16.4193548387097,"Barghe","2020"
"136","febbraio",19.1724137931034,"Barghe","2020"
"137","gennaio",28.6774193548387,"Barghe","2020"
"138","giugno",6.83333333333333,"Barghe","2020"
"139","luglio",8,"Barghe","2020"
"140","maggio",7.45161290322581,"Barghe","2020"
"141","marzo",13.8387096774194,"Barghe","2020"
"142","novembre",27.2666666666667,"Barghe","2020"
"143","ottobre",11.5806451612903,"Barghe","2020"
"144","settembre",8.83333333333333,"Barghe","2020"
"145","agosto",13,"Bassano Bresciano","2020"
"146","aprile",18.5333333333333,"Bassano Bresciano","2020"
"147","dicembre",30.9677419354839,"Bassano Bresciano","2020"
"148","febbraio",25.2758620689655,"Bassano Bresciano","2020"
"149","gennaio",35.8064516129032,"Bassano Bresciano","2020"
"150","giugno",10.0666666666667,"Bassano Bresciano","2020"
"151","luglio",12.2,"Bassano Bresciano","2020"
"152","maggio",10.4193548387097,"Bassano Bresciano","2020"
"153","marzo",23.5483870967742,"Bassano Bresciano","2020"
"154","novembre",40.9,"Bassano Bresciano","2020"
"155","ottobre",23.0645161290323,"Bassano Bresciano","2020"
"156","settembre",17.7,"Bassano Bresciano","2020"
"157","agosto",10.4516129032258,"Bedizzole","2020"
"158","aprile",16.5666666666667,"Bedizzole","2020"
"159","dicembre",26.3548387096774,"Bedizzole","2020"
"160","febbraio",23.5862068965517,"Bedizzole","2020"
"161","gennaio",33.5161290322581,"Bedizzole","2020"
"162","giugno",8.1,"Bedizzole","2020"
"163","luglio",9.96666666666667,"Bedizzole","2020"
"164","maggio",9.29032258064516,"Bedizzole","2020"
"165","marzo",18.5483870967742,"Bedizzole","2020"
"166","novembre",36,"Bedizzole","2020"
"167","ottobre",17.2903225806452,"Bedizzole","2020"
"168","settembre",11.7333333333333,"Bedizzole","2020"
"169","agosto",11.4838709677419,"Berlingo","2020"
"170","aprile",18.1666666666667,"Berlingo","2020"
"171","dicembre",28.9354838709677,"Berlingo","2020"
"172","febbraio",26.448275862069,"Berlingo","2020"
"173","gennaio",36.0967741935484,"Berlingo","2020"
"174","giugno",9.73333333333333,"Berlingo","2020"
"175","luglio",11.5,"Berlingo","2020"
"176","maggio",11.0967741935484,"Berlingo","2020"
"177","marzo",23.6774193548387,"Berlingo","2020"
"178","novembre",39.0333333333333,"Berlingo","2020"
"179","ottobre",19.7096774193548,"Berlingo","2020"
"180","settembre",15.1666666666667,"Berlingo","2020"
"181","agosto",5.43333333333333,"Berzo Demo","2020"
"182","aprile",9.26666666666667,"Berzo Demo","2020"
"183","dicembre",12.8387096774194,"Berzo Demo","2020"
"184","febbraio",12.6206896551724,"Berzo Demo","2020"
"185","gennaio",18.0967741935484,"Berzo Demo","2020"
"186","giugno",4.5,"Berzo Demo","2020"
"187","luglio",5.63333333333333,"Berzo Demo","2020"
"188","maggio",5.74193548387097,"Berzo Demo","2020"
"189","marzo",9.38709677419355,"Berzo Demo","2020"
"190","novembre",18.6666666666667,"Berzo Demo","2020"
"191","ottobre",7,"Berzo Demo","2020"
"192","settembre",7,"Berzo Demo","2020"
"193","agosto",6.41935483870968,"Berzo Inferiore","2020"
"194","aprile",14.2666666666667,"Berzo Inferiore","2020"
"195","dicembre",7.09677419354839,"Berzo Inferiore","2020"
"196","febbraio",23.5172413793103,"Berzo Inferiore","2020"
"197","gennaio",30.4838709677419,"Berzo Inferiore","2020"
"198","giugno",7.13333333333333,"Berzo Inferiore","2020"
"199","luglio",7.43333333333333,"Berzo Inferiore","2020"
"200","maggio",8.35483870967742,"Berzo Inferiore","2020"
"201","marzo",16,"Berzo Inferiore","2020"
"202","novembre",13.0666666666667,"Berzo Inferiore","2020"
"203","ottobre",6.32258064516129,"Berzo Inferiore","2020"
"204","settembre",6.86666666666667,"Berzo Inferiore","2020"
"205","agosto",7.67741935483871,"Bienno","2020"
"206","aprile",11.1,"Bienno","2020"
"207","dicembre",5.35483870967742,"Bienno","2020"
"208","febbraio",12.7586206896552,"Bienno","2020"
"209","gennaio",16.6451612903226,"Bienno","2020"
"210","giugno",6.66666666666667,"Bienno","2020"
"211","luglio",8.26666666666667,"Bienno","2020"
"212","maggio",7,"Bienno","2020"
"213","marzo",11.2903225806452,"Bienno","2020"
"214","novembre",11.6333333333333,"Bienno","2020"
"215","ottobre",4.93548387096774,"Bienno","2020"
"216","settembre",6.4,"Bienno","2020"
"217","agosto",7.06451612903226,"Bione","2020"
"218","aprile",13.3666666666667,"Bione","2020"
"219","dicembre",12.9354838709677,"Bione","2020"
"220","febbraio",16.4137931034483,"Bione","2020"
"221","gennaio",24.2258064516129,"Bione","2020"
"222","giugno",6.96666666666667,"Bione","2020"
"223","luglio",7.73333333333333,"Bione","2020"
"224","maggio",7.7741935483871,"Bione","2020"
"225","marzo",13.4838709677419,"Bione","2020"
"226","novembre",24.3,"Bione","2020"
"227","ottobre",10.3225806451613,"Bione","2020"
"228","settembre",8.4,"Bione","2020"
"229","agosto",13.2903225806452,"Borgo San Giacomo","2020"
"230","aprile",19.0333333333333,"Borgo San Giacomo","2020"
"231","dicembre",29.4516129032258,"Borgo San Giacomo","2020"
"232","febbraio",26.7586206896552,"Borgo San Giacomo","2020"
"233","gennaio",38.1290322580645,"Borgo San Giacomo","2020"
"234","giugno",11.1333333333333,"Borgo San Giacomo","2020"
"235","luglio",12.6333333333333,"Borgo San Giacomo","2020"
"236","maggio",10.7741935483871,"Borgo San Giacomo","2020"
"237","marzo",23.5806451612903,"Borgo San Giacomo","2020"
"238","novembre",40.0666666666667,"Borgo San Giacomo","2020"
"239","ottobre",23.3548387096774,"Borgo San Giacomo","2020"
"240","settembre",19.4333333333333,"Borgo San Giacomo","2020"
"241","agosto",11.4516129032258,"Borgosatollo","2020"
"242","aprile",18.8333333333333,"Borgosatollo","2020"
"243","dicembre",31.9032258064516,"Borgosatollo","2020"
"244","febbraio",32.9310344827586,"Borgosatollo","2020"
"245","gennaio",45.3225806451613,"Borgosatollo","2020"
"246","giugno",9.7,"Borgosatollo","2020"
"247","luglio",11.1,"Borgosatollo","2020"
"248","maggio",12.5806451612903,"Borgosatollo","2020"
"249","marzo",25.8709677419355,"Borgosatollo","2020"
"250","novembre",40.2333333333333,"Borgosatollo","2020"
"251","ottobre",19.4838709677419,"Borgosatollo","2020"
"252","settembre",13.6,"Borgosatollo","2020"
"253","agosto",4.87096774193548,"Borno","2020"
"254","aprile",12.9666666666667,"Borno","2020"
"255","dicembre",6.54838709677419,"Borno","2020"
"256","febbraio",15.7241379310345,"Borno","2020"
"257","gennaio",20.1612903225806,"Borno","2020"
"258","giugno",5.46666666666667,"Borno","2020"
"259","luglio",5.93333333333333,"Borno","2020"
"260","maggio",7.48387096774194,"Borno","2020"
"261","marzo",13.5806451612903,"Borno","2020"
"262","novembre",12.5,"Borno","2020"
"263","ottobre",7.25806451612903,"Borno","2020"
"264","settembre",7.23333333333333,"Borno","2020"
"265","agosto",9.19354838709677,"Botticino","2020"
"266","aprile",16.3666666666667,"Botticino","2020"
"267","dicembre",17.7741935483871,"Botticino","2020"
"268","febbraio",25.7586206896552,"Botticino","2020"
"269","gennaio",36.5806451612903,"Botticino","2020"
"270","giugno",8.13333333333333,"Botticino","2020"
"271","luglio",9.23333333333333,"Botticino","2020"
"272","maggio",10.3225806451613,"Botticino","2020"
"273","marzo",19.9032258064516,"Botticino","2020"
"274","novembre",28.9333333333333,"Botticino","2020"
"275","ottobre",14.2903225806452,"Botticino","2020"
"276","settembre",10.3333333333333,"Botticino","2020"
"277","agosto",5.83870967741935,"Bovegno","2020"
"278","aprile",14,"Bovegno","2020"
"279","dicembre",5.38709677419355,"Bovegno","2020"
"280","febbraio",16.7586206896552,"Bovegno","2020"
"281","gennaio",21.8064516129032,"Bovegno","2020"
"282","giugno",6.96666666666667,"Bovegno","2020"
"283","luglio",6.9,"Bovegno","2020"
"284","maggio",8.25806451612903,"Bovegno","2020"
"285","marzo",14.9032258064516,"Bovegno","2020"
"286","novembre",12.7333333333333,"Bovegno","2020"
"287","ottobre",6.32258064516129,"Bovegno","2020"
"288","settembre",6.56666666666667,"Bovegno","2020"
"289","agosto",8.35483870967742,"Bovezzo","2020"
"290","aprile",15.9666666666667,"Bovezzo","2020"
"291","dicembre",17.5483870967742,"Bovezzo","2020"
"292","febbraio",25.6551724137931,"Bovezzo","2020"
"293","gennaio",36.6774193548387,"Bovezzo","2020"
"294","giugno",8.16666666666667,"Bovezzo","2020"
"295","luglio",9.1,"Bovezzo","2020"
"296","maggio",10.0322580645161,"Bovezzo","2020"
"297","marzo",18.9677419354839,"Bovezzo","2020"
"298","novembre",28.3,"Bovezzo","2020"
"299","ottobre",13.2258064516129,"Bovezzo","2020"
"300","settembre",9.96666666666667,"Bovezzo","2020"
"301","agosto",11.9354838709677,"Brandico","2020"
"302","aprile",18.8666666666667,"Brandico","2020"
"303","dicembre",30.5483870967742,"Brandico","2020"
"304","febbraio",28.0344827586207,"Brandico","2020"
"305","gennaio",38.2903225806452,"Brandico","2020"
"306","giugno",10.2333333333333,"Brandico","2020"
"307","luglio",11.5666666666667,"Brandico","2020"
"308","maggio",11.2258064516129,"Brandico","2020"
"309","marzo",24.741935483871,"Brandico","2020"
"310","novembre",39.9666666666667,"Brandico","2020"
"311","ottobre",20.9354838709677,"Brandico","2020"
"312","settembre",15.8666666666667,"Brandico","2020"
"313","agosto",4.03225806451613,"Braone","2020"
"314","aprile",8.9,"Braone","2020"
"315","dicembre",6.48387096774194,"Braone","2020"
"316","febbraio",11.3448275862069,"Braone","2020"
"317","gennaio",15.5161290322581,"Braone","2020"
"318","giugno",4.66666666666667,"Braone","2020"
"319","luglio",4.33333333333333,"Braone","2020"
"320","maggio",5.45161290322581,"Braone","2020"
"321","marzo",8.74193548387097,"Braone","2020"
"322","novembre",13.3,"Braone","2020"
"323","ottobre",4.61290322580645,"Braone","2020"
"324","settembre",5.43333333333333,"Braone","2020"
"325","agosto",4.25806451612903,"Breno","2020"
"326","aprile",8.83333333333333,"Breno","2020"
"327","dicembre",6.16129032258065,"Breno","2020"
"328","febbraio",8.20689655172414,"Breno","2020"
"329","gennaio",11.3870967741935,"Breno","2020"
"330","giugno",4.76666666666667,"Breno","2020"
"331","luglio",4.56666666666667,"Breno","2020"
"332","maggio",5.67741935483871,"Breno","2020"
"333","marzo",8.35483870967742,"Breno","2020"
"334","novembre",11.3,"Breno","2020"
"335","ottobre",4.48387096774194,"Breno","2020"
"336","settembre",5.33333333333333,"Breno","2020"
"337","agosto",10.4193548387097,"Brescia","2020"
"338","aprile",18.1666666666667,"Brescia","2020"
"339","dicembre",27.8709677419355,"Brescia","2020"
"340","febbraio",31.6206896551724,"Brescia","2020"
"341","gennaio",43.8387096774194,"Brescia","2020"
"342","giugno",9.36666666666667,"Brescia","2020"
"343","luglio",10.7,"Brescia","2020"
"344","maggio",12.2903225806452,"Brescia","2020"
"345","marzo",24.2258064516129,"Brescia","2020"
"346","novembre",36.2333333333333,"Brescia","2020"
"347","ottobre",17.4838709677419,"Brescia","2020"
"348","settembre",12.4,"Brescia","2020"
"349","agosto",8.16129032258065,"Brione","2020"
"350","aprile",15.1,"Brione","2020"
"351","dicembre",18.6129032258065,"Brione","2020"
"352","febbraio",22.7586206896552,"Brione","2020"
"353","gennaio",33.9354838709677,"Brione","2020"
"354","giugno",7.9,"Brione","2020"
"355","luglio",8.93333333333333,"Brione","2020"
"356","maggio",8.90322580645161,"Brione","2020"
"357","marzo",16.9032258064516,"Brione","2020"
"358","novembre",31.4666666666667,"Brione","2020"
"359","ottobre",13.4193548387097,"Brione","2020"
"360","settembre",10.0333333333333,"Brione","2020"
"361","agosto",7.80645161290323,"Caino","2020"
"362","aprile",14.3666666666667,"Caino","2020"
"363","dicembre",12.2333333333333,"Caino","2020"
"364","febbraio",20.448275862069,"Caino","2020"
"365","gennaio",28.6451612903226,"Caino","2020"
"366","giugno",7.56666666666667,"Caino","2020"
"367","luglio",8.23333333333333,"Caino","2020"
"368","maggio",8.70967741935484,"Caino","2020"
"369","marzo",15.8064516129032,"Caino","2020"
"370","novembre",24.1666666666667,"Caino","2020"
"371","ottobre",11.3225806451613,"Caino","2020"
"372","settembre",9.23333333333333,"Caino","2020"
"373","agosto",11,"Calcinato","2020"
"374","aprile",17.5333333333333,"Calcinato","2020"
"375","dicembre",27.3548387096774,"Calcinato","2020"
"376","febbraio",25.2068965517241,"Calcinato","2020"
"377","gennaio",34.9677419354839,"Calcinato","2020"
"378","giugno",9,"Calcinato","2020"
"379","luglio",10.3333333333333,"Calcinato","2020"
"380","maggio",10,"Calcinato","2020"
"381","marzo",20.6129032258065,"Calcinato","2020"
"382","novembre",36.6333333333333,"Calcinato","2020"
"383","ottobre",18.8064516129032,"Calcinato","2020"
"384","settembre",12.4333333333333,"Calcinato","2020"
"385","agosto",9.80645161290323,"Calvagese della Riviera","2020"
"386","aprile",15.4,"Calvagese della Riviera","2020"
"387","dicembre",26.0322580645161,"Calvagese della Riviera","2020"
"388","febbraio",21,"Calvagese della Riviera","2020"
"389","gennaio",30,"Calvagese della Riviera","2020"
"390","giugno",7.56666666666667,"Calvagese della Riviera","2020"
"391","luglio",9.36666666666667,"Calvagese della Riviera","2020"
"392","maggio",8.58064516129032,"Calvagese della Riviera","2020"
"393","marzo",16.0645161290323,"Calvagese della Riviera","2020"
"394","novembre",35.9666666666667,"Calvagese della Riviera","2020"
"395","ottobre",15.9677419354839,"Calvagese della Riviera","2020"
"396","settembre",10.9666666666667,"Calvagese della Riviera","2020"
"397","agosto",12.1290322580645,"Calvisano","2020"
"398","aprile",17.6,"Calvisano","2020"
"399","dicembre",29.7096774193548,"Calvisano","2020"
"400","febbraio",23.1724137931034,"Calvisano","2020"
"401","gennaio",31.3870967741935,"Calvisano","2020"
"402","giugno",9.36666666666667,"Calvisano","2020"
"403","luglio",11.1,"Calvisano","2020"
"404","maggio",9.54838709677419,"Calvisano","2020"
"405","marzo",21.6774193548387,"Calvisano","2020"
"406","novembre",38.7333333333333,"Calvisano","2020"
"407","ottobre",21.3548387096774,"Calvisano","2020"
"408","settembre",14.5333333333333,"Calvisano","2020"
"409","agosto",5.09677419354839,"Capo di Ponte","2020"
"410","aprile",9.7,"Capo di Ponte","2020"
"411","dicembre",10.2258064516129,"Capo di Ponte","2020"
"412","febbraio",13.1379310344828,"Capo di Ponte","2020"
"413","gennaio",17.9032258064516,"Capo di Ponte","2020"
"414","giugno",4.8,"Capo di Ponte","2020"
"415","luglio",5.66666666666667,"Capo di Ponte","2020"
"416","maggio",5.93548387096774,"Capo di Ponte","2020"
"417","marzo",9.70967741935484,"Capo di Ponte","2020"
"418","novembre",17.1666666666667,"Capo di Ponte","2020"
"419","ottobre",6.64516129032258,"Capo di Ponte","2020"
"420","settembre",6.83333333333333,"Capo di Ponte","2020"
"421","agosto",5.25806451612903,"Capovalle","2020"
"422","aprile",10.9,"Capovalle","2020"
"423","dicembre",5.7,"Capovalle","2020"
"424","febbraio",10.3793103448276,"Capovalle","2020"
"425","gennaio",14.6129032258065,"Capovalle","2020"
"426","giugno",5.53333333333333,"Capovalle","2020"
"427","luglio",5.96666666666667,"Capovalle","2020"
"428","maggio",6.29032258064516,"Capovalle","2020"
"429","marzo",9.67741935483871,"Capovalle","2020"
"430","novembre",14.5666666666667,"Capovalle","2020"
"431","ottobre",7.25806451612903,"Capovalle","2020"
"432","settembre",6.93333333333333,"Capovalle","2020"
"433","agosto",12.1290322580645,"Capriano del Colle","2020"
"434","aprile",18.9,"Capriano del Colle","2020"
"435","dicembre",31.741935483871,"Capriano del Colle","2020"
"436","febbraio",32.1034482758621,"Capriano del Colle","2020"
"437","gennaio",43.4516129032258,"Capriano del Colle","2020"
"438","giugno",9.76666666666667,"Capriano del Colle","2020"
"439","luglio",11.5,"Capriano del Colle","2020"
"440","maggio",12.1290322580645,"Capriano del Colle","2020"
"441","marzo",26.1612903225806,"Capriano del Colle","2020"
"442","novembre",40.5666666666667,"Capriano del Colle","2020"
"443","ottobre",20.8709677419355,"Capriano del Colle","2020"
"444","settembre",15.1,"Capriano del Colle","2020"
"445","agosto",9.35483870967742,"Capriolo","2020"
"446","aprile",15.8333333333333,"Capriolo","2020"
"447","dicembre",25.6451612903226,"Capriolo","2020"
"448","febbraio",19.8620689655172,"Capriolo","2020"
"449","gennaio",29.2258064516129,"Capriolo","2020"
"450","giugno",8.5,"Capriolo","2020"
"451","luglio",10.2666666666667,"Capriolo","2020"
"452","maggio",8.70967741935484,"Capriolo","2020"
"453","marzo",17.0322580645161,"Capriolo","2020"
"454","novembre",36.5333333333333,"Capriolo","2020"
"455","ottobre",16.7741935483871,"Capriolo","2020"
"456","settembre",12.7,"Capriolo","2020"
"457","agosto",11.6129032258065,"Carpenedolo","2020"
"458","aprile",17.6,"Carpenedolo","2020"
"459","dicembre",29.9354838709677,"Carpenedolo","2020"
"460","febbraio",24.6551724137931,"Carpenedolo","2020"
"461","gennaio",33.0645161290323,"Carpenedolo","2020"
"462","giugno",9.36666666666667,"Carpenedolo","2020"
"463","luglio",10.4333333333333,"Carpenedolo","2020"
"464","maggio",9.35483870967742,"Carpenedolo","2020"
"465","marzo",21.1290322580645,"Carpenedolo","2020"
"466","novembre",38.4333333333333,"Carpenedolo","2020"
"467","ottobre",21.1290322580645,"Carpenedolo","2020"
"468","settembre",13.4666666666667,"Carpenedolo","2020"
"469","agosto",10.8064516129032,"Castegnato","2020"
"470","aprile",18.7333333333333,"Castegnato","2020"
"471","dicembre",31.3548387096774,"Castegnato","2020"
"472","febbraio",32.5172413793103,"Castegnato","2020"
"473","gennaio",45.4516129032258,"Castegnato","2020"
"474","giugno",10.1,"Castegnato","2020"
"475","luglio",11.7,"Castegnato","2020"
"476","maggio",12.1935483870968,"Castegnato","2020"
"477","marzo",24.4516129032258,"Castegnato","2020"
"478","novembre",41.6,"Castegnato","2020"
"479","ottobre",19.1612903225806,"Castegnato","2020"
"480","settembre",14.1333333333333,"Castegnato","2020"
"481","agosto",11.3225806451613,"Castel Mella","2020"
"482","aprile",19.5333333333333,"Castel Mella","2020"
"483","dicembre",32.9354838709677,"Castel Mella","2020"
"484","febbraio",35,"Castel Mella","2020"
"485","gennaio",47.6774193548387,"Castel Mella","2020"
"486","giugno",10.3333333333333,"Castel Mella","2020"
"487","luglio",11.5666666666667,"Castel Mella","2020"
"488","maggio",13.1612903225806,"Castel Mella","2020"
"489","marzo",27.0645161290323,"Castel Mella","2020"
"490","novembre",41.7333333333333,"Castel Mella","2020"
"491","ottobre",20.0645161290323,"Castel Mella","2020"
"492","settembre",14.5666666666667,"Castel Mella","2020"
"493","agosto",11.5483870967742,"Castelcovati","2020"
"494","aprile",17.6666666666667,"Castelcovati","2020"
"495","dicembre",29.7096774193548,"Castelcovati","2020"
"496","febbraio",21.8620689655172,"Castelcovati","2020"
"497","gennaio",30.8709677419355,"Castelcovati","2020"
"498","giugno",9.93333333333333,"Castelcovati","2020"
"499","luglio",11.5666666666667,"Castelcovati","2020"
"500","maggio",9.7741935483871,"Castelcovati","2020"
"501","marzo",21.4193548387097,"Castelcovati","2020"
"502","novembre",39.4,"Castelcovati","2020"
"503","ottobre",20.1935483870968,"Castelcovati","2020"
"504","settembre",15.9,"Castelcovati","2020"
"505","agosto",11.1612903225806,"Castenedolo","2020"
"506","aprile",18.3,"Castenedolo","2020"
"507","dicembre",29.3870967741935,"Castenedolo","2020"
"508","febbraio",29.2758620689655,"Castenedolo","2020"
"509","gennaio",40.4193548387097,"Castenedolo","2020"
"510","giugno",9.23333333333333,"Castenedolo","2020"
"511","luglio",10.6333333333333,"Castenedolo","2020"
"512","maggio",11.6129032258065,"Castenedolo","2020"
"513","marzo",23.8387096774194,"Castenedolo","2020"
"514","novembre",37.8,"Castenedolo","2020"
"515","ottobre",18.9032258064516,"Castenedolo","2020"
"516","settembre",12.9,"Castenedolo","2020"
"517","agosto",6.45161290322581,"Casto","2020"
"518","aprile",13.0666666666667,"Casto","2020"
"519","dicembre",9.16129032258065,"Casto","2020"
"520","febbraio",15.6206896551724,"Casto","2020"
"521","gennaio",22.5161290322581,"Casto","2020"
"522","giugno",6.86666666666667,"Casto","2020"
"523","luglio",7.33333333333333,"Casto","2020"
"524","maggio",7.54838709677419,"Casto","2020"
"525","marzo",13.1612903225806,"Casto","2020"
"526","novembre",20.8,"Casto","2020"
"527","ottobre",9.45161290322581,"Casto","2020"
"528","settembre",8.33333333333333,"Casto","2020"
"529","agosto",11.3548387096774,"Castrezzato","2020"
"530","aprile",17.6333333333333,"Castrezzato","2020"
"531","dicembre",28.7096774193548,"Castrezzato","2020"
"532","febbraio",22.9655172413793,"Castrezzato","2020"
"533","gennaio",31.9677419354839,"Castrezzato","2020"
